id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
4345073,Amazing Ocean Views!,9238070,Nancy,,Pittwater,-33.66276627315826,151.3215911805204,Entire home/apt,175,1,105,2017-04-01,3.71,1,87
16246993,Newport Beach Cottage,106224027,Scott,,Pittwater,-33.660169424557786,151.3180204473585,Entire home/apt,451,7,0,,,1,47
16740367,BELLEVUE STUDIO,83648083,Andy,,Pittwater,-33.63964489260801,151.32627796182817,Private room,148,1,8,2017-03-26,3.53,1,172
5673520,Quiet retreat with amazing views,17747199,Kat,,Pittwater,-33.6462833988558,151.30705872908172,Private room,66,3,0,,,1,0
10417407,Quiet Garden Studio Apartment,25871999,Lesley,,Pittwater,-33.636025673612316,151.30799459245108,Entire home/apt,120,2,61,2017-03-25,4.49,1,152
9012648,The Retreat at Palm Beach,47060767,Ian,,Pittwater,-33.601895126842216,151.32068462040291,Private room,275,1,5,2016-11-19,0.30,1,349
16245554,Tropical beach pad in Newport,34737794,Chris,,Pittwater,-33.65720195711211,151.31130807234595,Entire home/apt,99,1,4,2017-01-11,1.10,1,34
16314852,Self Contained Palm Beach Pad,53495843,Margy,,Pittwater,-33.604746116481756,151.32809178199426,Private room,197,1,7,2017-04-01,2.14,1,73
1240947,Palm Beach Bed & Breakfast RIVIERA,6764931,Rudi & Avalon,,Pittwater,-33.6000235207711,151.3213938601528,Private room,200,2,30,2017-03-04,1.00,4,319
13098938,scotland island lodge,48611301,Rosemary,,Pittwater,-33.637736317465304,151.2934816941658,Private room,210,1,0,,,2,365
16900534,"Private Room -North Avalon Beach - Sun, Surf & Fun",44104604,Sophie,,Pittwater,-33.63050455289122,151.3367048458058,Private room,71,1,6,2017-03-25,3.00,2,81
3321966,'Maison V' Garden 1BD Avalon Beach,16772315,Karen,,Pittwater,-33.62347062439843,151.3340511503485,Entire home/apt,100,2,45,2017-03-02,1.40,1,234
4387830,Sun filled beach house,21550722,Liz,,Pittwater,-33.64259040282604,151.3226481644911,Entire home/apt,399,7,2,2017-01-02,0.07,1,0
8906623,Apartment with Pittwater Views,46586106,Robert,,Pittwater,-33.6245473018669,151.32173635479126,Entire home/apt,200,3,11,2016-10-15,0.67,1,77
12840533,Newport Beach Luxury,27864651,Taran,,Pittwater,-33.64745766109878,151.32150654367732,Entire home/apt,250,2,16,2017-03-25,1.48,1,360
1700345,Garden flat Avalon Beach,8978612,Jo,,Pittwater,-33.62309908380324,151.33425470706104,Entire home/apt,110,2,21,2017-03-24,0.68,1,343
13362491,perfect getaway for the week or weekend,75822889,Christopher,,Pittwater,-33.6295848519548,151.31821830932154,Entire home/apt,226,2,0,,,1,0
16327850,In the heart of the Golden Triangle of Newport!,21545366,Lia,,Pittwater,-33.66135156430874,151.3169168487518,Entire home/apt,115,1,14,2017-03-04,4.08,1,143
12057230,"Peaceful, pool-side Avalon chalet",64583606,Neil,,Pittwater,-33.61929151685412,151.33424534939786,Entire home/apt,179,1,27,2017-04-01,2.43,1,281
13270276,Tropical feel apartment; walking distance beaches,5866266,Clare,,Pittwater,-33.64038396247893,151.32260349481513,Entire home/apt,150,1,19,2017-03-25,1.93,3,177
15604936,Beach Oasis,4366831,Geoff,,Pittwater,-33.66423838091091,151.31455928403392,Private room,95,1,3,2017-01-21,0.97,1,174
9369359,scotland island lodge,48611301,Rosemary,,Pittwater,-33.63862430486685,151.2927886575897,Private room,210,1,4,2017-03-18,0.29,2,297
9670287,Newport-Bungan Beach House Room,30073559,Rob,,Pittwater,-33.666407239976415,151.31784615264687,Private room,145,1,0,,,4,365
1472836,Studio in the heart of Avalon Beach,6070441,Elizabeth,,Pittwater,-33.63307060577302,151.32787075826434,Private room,121,2,1,2016-01-26,0.07,2,365
10809667,Pristine Security Apartment,43845309,Bradley,,Pittwater,-33.63929730961481,151.32951027144148,Entire home/apt,110,1,3,2016-02-11,0.21,1,0
